Locality/District/Region,2010 Population,Rabies in Animals Reported Cases,"Rabies in Animals Disease Rate per 100,000",Salmonellosis Reported Cases,"Salmonellosis Rate per 100,000",Shigellosis Reported Cases,"Shigellosis Rate per 100,000"
Virginia Total,8001024,618,7.7,1208,15.1,107,1.3
Accomack County,"33,164",7,1.1,21,63.3,1,3
"Albemarle Co., Charlottesville","142,445",1,0.2,24,16.8,0,0
"Alleghany Co, Clifton Forge, Covington","22,211",17,2.8,2,9,0,0
Amelia County,"12,690",0,0,1,7.9,0,0
Amherst County,"32,353",8,1.3,10,30.9,0,0
Appomattox County,"14,973",4,0.6,0,0,0,0
Arlington County,"207,627",4,0.6,40,19.3,4,1.9
"Augusta Co., Staunton","97,496",15,2.4,14,14.4,0,0
Bath County,"4,731",4,0.6,0,0,0,0
Bedford County and City,"74,898",14,2.3,1722.7,1,1.3,
Bland County,"6,824",1,0.2,0,0,0,0
Botetourt County,"33,148",19,3.1,2,6,0,0
Brunswick County,"17,434",1,0.2,0,0,0,0
Buchanan County,"24,098",2,0.3,3,12.4,1,4.1
Buckingham County,"17,146",3,0.5,6,35,0,0
Campbell County,"54,842",4,0.6,9,16.4,1,1.8
Caroline County,"28,545",4,0.6,6,21,0,0
Carroll County,"30,042",17,2.8,4,13.3,0,0
Charles City County,"7,256",2,0.3,0,0,0,0
Charlotte County,"12,586",6,1,9,71.5,0,0
Chesterfield County,"316,236",10,1.6,45,14.2,2,0.6
Clarke County,"14,034",7,1.1,2,14.3,0,0
Craig County,"5,190",1,0.2,1,19.3,0,0
Culpeper County,"46,689",7,1.1,3,6.4,0,0
Cumberland County,"10,052",6,1,1,9.9,0,0
Dickenson County,"15,903",0,0,5,31.4,0,0
Dinwiddie County,"28,001",4,0.6,6,21.4,0,0
Essex County,"11,151",2,0.3,3,26.9,0,0
Fairfax Co./City/Falls Church,"1,116,623",43,7,123,11,26,2.3
Fauquier County,"65,203",28,4.5,9,13.8,1,1.5
Floyd County,"15,279",10,1.6,2,13.1,0,0
Fluvanna County,"25,691",0,0,8,31.1,0,0
Franklin County,"56,159",4,0.6,3,5.3,0,0
"Frederick Co., Winchester","104,508",4,0.6,16,15.3,3,2.9
Giles County,"17,286",4,0.6,3,17.4,0,0
Gloucester County,"36,858",3,0.5,10,27.1,0,0
Goochland County,"21,717",3,0.5,5,23,0,0
Grayson County,"15,533",1,0.2,0,0,0,0
Greene County,"18,403",2,0.3,8,43.5,0,0
"Greensville Co., Emporia","18,170",0,0,1,5.5,0,0
Halifax County,"36,241",4,0.6,13,35.9,0,0
Hanover County,"99,863",11,1.8,17,17,0,0
Henrico County,"306,935",12,1.9,48,15.6,5,1.6
"Henry Co., Martinsville","67,972",6,1,5,7.4,0,0
Highland County,"2,321",3,0.5,2,86.2,0,0
Isle of Wight County,"35,270",9,1.5,18,51,0,0
James City County,"67,009",6,1,11,16.4,0,0
King and Queen County,"6,945",3,0.3,4,57.6,0,0
King George County,"23,584",2,0.3,3,12.7,0,0
King William County,"15,935",2,0.3,7,43.9,0,0
Lancaster County,"11,391",2,0,2,17.6,0,0
Lee County,"25,587",0,4.2,3,11.7,0,0
Loudoun County,"312,311",26,0.5,35,11.2,9,2.9
Louisa County,"33,153",3,1.1,13,39.2,0,0
Lunenburg County,"12,914",7,0.3,3,23.2,0,0
Madison County,"13,308",2,0.2,0,0,0,0
Mathews County,"8,978",1,1.3,2,22.3,0,0
Mecklenburg County,"32,727",8,0,3,9.2,0,0
Middlesex County,"10,959",0,3.7,1,9.1,0,0
Montgomery County,"94,392",23,0.5,7,7.4,0,0
Nelson County,"15,020",3,0,2,13.3,0,0
New Kent County,"18,429",0,0.5,1,5.4,0,0
Northampton County,"12,389",3,0.3,8,64.6,0,0
Northumberland County,"12,330",2,0.3,6,48.7,0,0
Nottoway County,"15,853",0,0,3,18.9,0,0
Orange County,"33,481",3,0.5,4,11.9,0,0
Page County,"24,042",3,0.5,3,12.5,0,0
Patrick County,"18,490",5,0.8,3,16.2,0,0
Pittsylvania County,"63,506",12,1.9,10,15.7,0,0
Powhatan County,"28,046",1,0.2,6,21.4,0,0
Prince Edward County,"23,368",9,1.5,3,12.8,0,0
Prince George County,"35,725",1,0.2,3,8.4,0,0
Pr. William Co./Manassas/M. Park,"454,096",11,1.8,62,13.7,14,3.1
Pulaski County,"34,872",4,0.6,6,17.2,0,0
Rappahannock County,"7,373",4,0.6,2,27.1,0,0
Richmond County,"9,254",0,0,2,21.6,0,0
Roanoke County,"92,376",18,2.9,16,17.3,0,0
"Rockbridge Co., Lexington","29,349",15,2.4,3,10.2,0,0
"Rockingham Co., Harrisonburg","125,228",5,0.8,15,12,1,0.8
Russell County,"28,897",0,0,2,6.9,1,3.5
Scott County,"23,177",1,0.2,2,8.6,0,0
Shenandoah County,"41,993",9,1.5,3,7.1,2,4.8
Smyth County,"32,208",3,0.5,4,12.4,0,0
Southampton County,"18,570",2,0.3,3,16.2,0,0
Spotsylvania County,"122,397",7,1.1,18,14.7,0,0
Stafford County,"128,961",2,0.3,24,18.6,1,0.8
Surry County,"7,058",1,0.2,1,14.2,1,14.2
Sussex County,"12,087",2,0.3,2,16.5,0,0
Tazewell County,"45,078",7,1.1,7,15.5,0,0
Warren County,"37,575",4,0.6,1,2.7,0,0
Washington County,"54,876",5,0.8,13,23.7,0,0
Westmoreland County,"17,454",1,0.2,6,34.4,0,0
"Wise Co., Norton","45,410",0,0,6,13.2,1,2.2
Wythe County,"29,235",8,1.3,1,3.4,0,0
"York Co., Poquoson","77,614",7,1.1,14,18,0,0
