Locality/District/Region,2010 Population,Chlamydia Trachomatis Infection Reported Cases,"Chlamydia Trachomatis Infection Rate per 100,000",Escherichia coli Infection (Shiga Toxin-Producing) Reported Cases,"Escherichia coli Infection (Shiga Toxin-Producing) Rate per 100,000",Giardiasis Reported Cases,"Giardiasis Rate per 100,000"
Virginia Total,8001024,36317,453.9,123,1.5,290,3.6
Central Shenandoah,"286,781",734,255.9,14,4.9,11,3.8
Lord Fairfax,"222,152",610,274.6,8,3.6,7,3.2
Rappahannock,"327,773",1261,384.7,2,0.6,14,4.3
Rappahannock/Rapidan,"166,054",376,226.4,2,1.2,6,3.6
Thomas Jefferson,"234,712",749,319.1,5,2.1,13,5.5
Northwest Region,"1,237,472","3,730",301.4,31,2.5,51,4.1
Alexandria,"139,966",561,400.8,4,2.9,13,9.3
Arlington,"207,627",511,246.1,12,5.8,15,7.2
Fairfax,"1,116,623",1834,164.2,13,1.2,52,4.7
Loudoun,"312,311",464,148.6,11,3.5,15,4.8
Prince William,"454,096",1333,293.6,9,2,11,2.4
Northern Region,"2,230,623","4,703",210.8,49,2.2,106,4.8
Alleghany,"177,727",431,242.5,0,0,15,8.4
Central Virginia,"252,634",867,343.2,3,1.2,7,2.8
Cumberland Plateau,"113,976",126,110.5,4,3.5,1,0.9
Lenowisco,"94,174",172,182.6,5,5.3,2,2.1
Mount Rogers,"193,595",421,217.5,5,2.6,4,2.1
New River,"178,237",477,267.6,0,0,4,2.2
Pittsylvania/Danville,"106,561",710,666.3,0,0,7,6.6
Roanoke City,"97,032",961,990.4,0,0,7,7.2
West Piedmont,"142,621",493,345.7,1,0.7,1,0.7
Southwest Region,"1,356,557","4,658",343.4,18,1.3,48,3.5
Chesterfield,"361,693",1410,389.8,2,0.6,11,3
Chickahominy,"147,265",326,221.4,6,4.1,1,0.7
Crater,"156,052",1682,1077.8,1,0.6,4,2.6
Henrico,"306,935",1435,467.5,2,0.7,5,1.6
Piedmont,"104,609",546,521.9,1,1,2,1.9
Richmond City,"204,214",2791,1366.7,3,1.5,4,2
Southside,"86,402",445,515,0,0,1,1.2
Central Region,"1,367,170","8,635",631.6,15,1.1,28,2
Chesapeake,"222,209",1381,621.5,1,0.5,6,2.7
Eastern Shore,"45,553",343,753,1,2.2,3,6.6
Hampton,"137,436",1547,1125.6,0,0,0,0
Norfolk,"242,803",3298,1358.3,1,0.4,8,3.3
Peninsula,"339,410",2557,753.4,1,0.3,18,5.3
Portsmouth,"95,535",1196,1251.9,1,1,0,0
Three Rivers,"141,255",557,394.3,0,0,3,2.1
Virginia Beach,"437,994",2622,598.6,4,0.9,16,3.7
Western Tidewater,"147,007",1090,741.5,1,0.7,3,2
Eastern Region,"1,809,202","14,591",806.5,10,0.6,57,3.2
