Locality/District/Region,2010 Population,Amebiasis Reported Cases,"Amebiasis Rate per 100,000",Campylobacteriosis Reported Cases,"Campylobacteriosis Rate per 100,000",Chickenpox Reported Cases,"Chickenpox Rate per 100,000"
Virginia Total,8001024,17,0.2,805,10.1,549,6.9
Accomack County,"33,164",0,0,10,30.2,0,0
"Albemarle Co., Charlottesville","142,445",0,0,17,11.9,15,10.5
"Alleghany Co., Clifton Forge, Covington","22,211",0,0,0,0,3,13.5
Amelia County,"12,690",0,0,2,15.8,0,0
Amherst County,"32,353",0,0,10,30.9,1,3.1
Appomattox County,"14,973",0,0,2,13.4,0,0
Arlington County,"207,627",2,1,24,11.6,2,1
"Augusta Co., Staunton","97,496",0,0,9,9.2,27,27.7
Bath County,"4,731",0,0,0,0,1,21.1
Bedford County and City,"74,898",0,0,7,9.3,0,0
Bland County,"6,824",0,0,2,29.3,0,0
Botetourt County,"33,148",0,0,2,6,0,0
Brunswick County,"17,434",0,0,0,0,0,0
Buchanan County,"24,098",0,0,0,0,0,0
Buckingham County,"17,146",0,0,2,11.7,1,5.8
Campbell County,"54,842",0,0,10,18.2,2,3.6
Caroline County,"28,545",0,0,1,3.5,2,7
Carroll County,"30,042",0,0,1,3.3,1,3.3
Charles City County,"7,256",0,0,1,13.8,0,0
Charlotte County,"12,586",0,0,0,0,0,0
Chesterfield County,"316,236",1,0.3,25,7.9,29,9.2
Clarke County,"14,034",0,0,8,57,0,0
Craig County,"5,190",0,0,2,38.5,0,0
Culpeper County,"46,689",0,0,3,6.4,2,4.3
Cumberland County,"10,052",0,0,2,19.9,0,0
Dickenson County,"15,903",0,0,3,18.9,1,6.3
Dinwiddie County,"28,001",0,0,3,10.7,2,7.1
Essex County,"11,151",0,0,2,17.9,0,0
Fairfax Co./City/Falls Church,"1,116,623",4,0.4,93,8.3,56,5
Fauquier County,"65,203",0,0,7,10.7,3,4.6
Floyd County,"15,279",0,0,2,13.1,0,0
Fluvanna County,"25,691",0,0,3,11.7,2,7.8
Franklin County,"56,159",0,0,7,12.5,2,3.6
"Frederick Co., Winchester","104,508",0,0,15,14.4,4,3.8
Giles County,"17,286",0,0,4,23.1,0,0
Gloucester County,"36,858",0,0,1,2.7,0,0
Goochland County,"21,717",0,0,2,9.2,0,0
Grayson County,"15,533",0,0,0,0,0,0
Greene County,"18,403",0,0,2,10.9,2,10.9
"Greensville Co., Emporia","18,170",0,0,2,11,0,0
Halifax County,"36,241",0,0,5,13.8,0,0
Hanover County,"99,863",0,0,15,15,13,13
Henrico County,"306,935",3,1,17,5.5,19,6.2
"Henry Co., Martinsville","67,972",0,0,9,13.2,17,25
Highland County,"2,321",0,0,1,43.1,0,0
Isle of Wight County,"35,270",0,0,2,5.7,1,2.8
James City County,"67,009",0,0,8,11.9,1,1.5
King and Queen County,"6,945",0,0,0,0,0,0
King George County,"23,584",0,0,4,17,1,4.2
King William County,"15,935",0,0,2,12.6,6,37.7
Lancaster County,"11,391",0,0,1,8.8,0,0
Lee County,"25,587",0,0,2,7.8,2,7.8
Loudoun County,"312,311",3,1,33,10.6,43,13.8
Louisa County,"33,153",0,0,6,18.1,0,0
Lunenburg County,"12,914",0,0,1,7.7,1,7.7
Madison County,"13,308",0,0,1,7.5,1,7.5
Mathews County,"8,978",0,0,1,11.1,1,11.1
Mecklenburg County,"32,727",0,0,1,3.1,0,0
Middlesex County,"10,959",0,0,3,27.4,2,18.2
Montgomery County,"94,392",0,0,11,11.7,2,2.1
Nelson County,"15,020",0,0,7,46.6,0,0
New Kent County,"18,429",0,0,0,0,0,0
Northampton County,"12,389",0,0,3,24.2,1,8.1
Northumberland County,"12,330",0,0,1,8.1,0,0
Nottoway County,"15,853",0,0,3,18.9,0,0
Orange County,"33,481",0,0,2,6,3,9
Page County,"24,042",0,0,3,12.5,3,12.5
Patrick County,"18,490",0,0,4,21.6,0,0
Pittsylvania County,"63,506",0,0,10,15.7,4,6.3
Powhatan County,"28,046",0,0,5,17.8,1,3.6
Prince Edward County,"23,368",0,0,4,17.1,1,4.3
Prince George County,"35,725",0,0,3,8.4,6,16.8
Pr. William Co./Manassas/M. Park,"454,096",0,0,42,9.2,31,6.8
Pulaski County,"34,872",0,0,2,5.7,0,0
Rappahannock County,"7,373",0,0,1,13.6,1,13.6
Richmond County,"9,254",0,0,2,21.6,0,0
Roanoke County,"92,376",0,0,10,10.8,9,9.7
"Rockbridge Co., Lexington","29,349",0,0,2,6.8,0,0
"Rockingham Co., Harrisonburg","125,228",0,0,20,16,32,25.6
Russell County,"28,897",0,0,7,24.2,0,0
Scott County,"23,177",0,0,6,25.9,0,0
Shenandoah County,"41,993",0,0,17,40.5,29,69.1
Smyth County,"32,208",0,0,12,37.3,2,6.2
Southampton County,"18,570",0,0,1,5.4,0,0
Spotsylvania County,"122,397",0,0,20,16.3,6,4.9
Stafford County,"128,961",0,0,16,12.4,6,4.7
Surry County,"7,058",0,0,0,0,0,0
Sussex County,"12,087",0,0,1,8.3,0,0
Tazewell County,"45,078",0,0,14,31.1,4,8.9
Warren County,"37,575",0,0,2,5.3,9,24
Washington County,"54,876",0,0,9,16.4,1,1.8
Westmoreland County,"17,454",0,0,3,17.2,1,5.7
"Wise Co., Norton","45,410",0,0,5,11,6,13.2
Wythe County,"29,235",0,0,2,6.8,1,3.4
"York Co., Poquoson","77,614",0,0,5,6.4,3,3.9
