,Population,Mumps Reported Cases,"Mumps Rate per 100,000",Pertussis Reported Cases,"Pertussis Rate per 100,000",Rabies in Animals Reported Cases,"Rabies in Animals Rate per 100,000"
VIRGINIA TOTAL,"7,386,330",1,0.01,219,2.96,542,100
Accomack County,"39,025",0,0,0,0,15,2.77
"Albemarle Co., Charlottesville","126,832",0,0,71,55.98,7,1.29
"Alleghany, Covington","23,100",0,0,0,0,7,1.29
Amelia County,"11,742",0,0,0,0,0,0
Amherst County,"31,891",0,0,0,0,2,0.37
Appomattox County,"13,710",0,0,0,0,7,1.29
Arlington County,"187,873",0,0,1,0.53,17,3.14
"Augusta Co., Staunton","91,275",0,0,8,8.76,29,5.35
Bath County,"5,013",0,0,0,0,2,0.37
Bedford County and City,"69,000",0,0,0,0,17,3.14
Bland County,"6,965",0,0,0,0,0,0
Botetourt County,"31,448",0,0,0,0,1,0.18
Brunswick County,"18,199",0,0,0,0,0,0
Buchanan County,"25,598",0,0,0,0,0,0
Buckingham County,"15,839",0,0,1,6.31,8,1.48
Campbell County,"51,322",0,0,2,3.9,11,2.03
Caroline County,"23,190",0,0,1,4.31,2,0.37
Carroll County,"29,336",0,0,1,3.41,2,0.37
Charles City County,"7,118",0,0,0,0,3,0.55
Charlotte County,"12,452",0,0,0,0,1,0.18
Chesterfield County,"276,840",0,0,4,1.44,11,2.03
Clarke County,"13,364",0,0,0,0,6,1.11
Craig County,"5,159",0,0,0,0,0,0
Culpeper County,"38,555",0,0,1,2.59,1,0.18
Cumberland County,"9,189",0,0,0,0,3,0.55
Dickenson County,"16,119",0,0,0,0,0,0
Dinwiddie County,"24,853",0,0,0,0,1,0.18
Essex County,"10,260",0,0,0,0,4,0.74
Fairfax Co./City/Falls Church,"1,032,921",0,0,0,0,50,9.23
Fauquier County,"61,137",0,0,0,0,10,1.85
Floyd County,"14,350",0,0,0,0,3,0.55
Fluvanna County,"23,078",0,0,16,69.33,5,0.92
Franklin County,"49,095",0,0,1,2.04,3,0.55
"Frederick Co., Winchester","88,999",0,0,0,0,9,1.66
Giles County,"16,956",0,0,0,0,2,0.37
Gloucester County,"36,698",0,0,0,0,0,0
Goochland County,"18,138",0,0,0,0,2,0.37
Grayson County,"16,557",0,0,1,6.04,5,0.92
Greene County,"16,779",0,0,4,23.84,0,0
"Greensville Co., Emporia","17,237",0,0,0,0,2,0.37
Halifax County,"36,632",0,0,0,0,3,0.55
Hanover County,"94,081",0,0,1,1.06,7,1.29
Henrico County,"271,083",0,0,10,3.69,9,1.66
VIRGINIA TOTAL,"7,386,330",1,0.01,219,2.96,542,100
"Henry Co., Martinsville","72,211",0,0,0,0,3,0.55
Highland County,"2,504",0,0,0,0,1,0.18
Isle of Wight County,"31,925",0,0,0,0,1,0.18
James City County,"53,487",0,0,0,0,1,0.18
King and Queen County,"6,588",0,0,0,0,4,0.74
King George County,"18,213",0,0,1,5.49,1,0.18
King William County,"14,131",0,0,2,14.15,0,0
Lancaster County,"12,074",0,0,0,0,5,0.92
Lee County,"23,734",0,0,0,0,0,0
Loudoun County,"221,746",0,0,5,2.25,19,3.51
Louisa County,"28,031",0,0,11,39.24,2,0.37
Lunenburg County,"13,167",0,0,0,0,2,0.37
Madison County,"13,036",0,0,10,76.71,2,0.37
Mathews County,"9,216",0,0,0,0,0,0
Mecklenburg County,"32,551",0,0,0,0,7,1.29
Middlesex County,"10,211",0,0,0,0,3,0.55
Montgomery County,"85,614",0,0,0,0,1,0.18
Nelson County,"14,942",0,0,0,0,3,0.55
New Kent County,"14,843",0,0,0,0,5,0.92
Northampton County,"13,285",0,0,0,0,14,2.58
Northumberland County,"12,742",0,0,0,0,6,1.11
Nottoway County,"15,603",0,0,0,0,0,0
Orange County,"28,018",0,0,2,7.14,5,0.92
Page County,"23,589",0,0,0,0,5,0.92
Patrick County,"19,182",0,0,0,0,3,0.55
Pittsylvania County,"61,640",0,0,1,1.62,3,0.55
Powhatan County,"24,649",0,0,0,0,2,0.37
Prince Edward County,"20,180",0,0,0,0,0,0
Prince George County,"34,305",0,0,0,0,3,0.55
Pr. William Co./Manassas/M. Park,"373,480",0,0,2,0.54,17,3.14
Pulaski County,"35,030",0,0,0,0,3,0.55
Rappahannock County,"7,110",0,0,0,0,0,0
Richmond County,"9,006",0,0,0,0,2,0.37
Roanoke County,"87,329",0,0,2,2.29,2,0.37
"Rockbridge Co., Lexington","28,049",0,0,2,7.13,13,2.4
"Rockingham Co., Harrisonburg","110,535",0,0,3,2.71,11,2.03
Russell County,"28,861",0,0,1,3.46,1,0.18
Scott County,"23,005",0,0,0,0,0,0
Shenandoah County,"37,199",0,0,0,0,12,2.21
Smyth County,"32,700",0,0,0,0,2,0.37
Southampton County,"17,453",0,0,0,0,0,0
Spotsylvania County,"107,838",0,0,0,0,4,0.74
Stafford County,"111,021",0,0,0,0,14,2.58
Surry County,"7,009",0,0,0,0,2,0.37
Sussex County,"11,956",0,0,0,0,2,0.37
Tazewell County,"44,362",0,0,0,0,6,1.11
Warren County,"33,871",0,0,0,0,8,1.48
Washington County,"51,405",0,0,0,0,5,0.92
Westmoreland County,"16,946",0,0,0,0,3,0.55
"Wise Co., Norton","45,712",0,0,0,0,1,0.18
Wythe County,"27,941",0,0,0,0,2,0.37
"York Co., Poquoson","72,792",0,0,2,2.75,0,0
