,Population,HIV Infection Reported Cases,"HIV Infection Rate per 100,000",Influenza Reported Cases,"Influenza Rate per 100,000",Kawasaki Syndrome Reported Cases,"Kawasaki Syndrome Rate per 100,000"
VIRGINIA TOTAL,"7,386,330",797,10.79,"18,765",254.05,11,0.15
Central Shenandoah,"264,084",10,3.79,985,372.99,0,0
Lord Fairfax,"197,022",2,1.02,722,366.46,1,0.51
Rappahannock,"280,451",10,3.57,731,260.65,1,0.36
Rappahannock/Rapidan,"147,856",2,1.35,251,169.76,0,0
Thomas Jefferson,"209,662",11,5.25,328,156.44,0,0
Northwest Region,"1,099,075",35,3.18,3017,274.5,2,0.18
Alexandria,"128,923",55,42.66,707,548.39,0,0
Arlington,"187,873",54,28.74,30,15.97,0,0
Fairfax,"1,032,921",84,8.13,335,32.43,1,0.1
Loudoun,"221,746",11,4.96,234,105.53,1,0.45
Prince William,"373,480",37,9.91,571,152.89,0,0
Northern Region,"1,944,943",241,12.39,1877,96.51,2,0.1
Alleghany,"171,639",8,4.66,176,102.54,0,0
Central Virginia,"231,036",9,3.9,1934,837.1,0,0
Cumberland Plateau,"114,940",1,0.87,102,88.74,0,0
Lenowisco,"92,451",0,0,534,577.6,0,0
Mount Rogers,"188,765",3,1.59,"1,156",612.4,0,0
New River,"166,956",2,1.2,59,35.34,0,0
Pittsylvania/Danville,"108,628",5,4.6,296,272.49,0,0
Roanoke City,"92,863",13,14,24,25.84,0,0
West Piedmont,"140,488",2,1.42,508,361.6,0,0
Southwest Region,"1,307,766",43,3.29,"4,789",366.2,0,0
Chesterfield,"318,775",25,7.84,197,61.8,3,0.94
Crater,"150,842",40,26.52,60,39.78,0,0
Hanover,"134,180",5,3.73,424,315.99,0,0
Henrico,"271,083",36,13.28,1998,737.04,0,0
Piedmont,"98,172",9,9.17,329,335.13,0,0
Richmond City,"194,729",97,49.81,310,159.2,0,0
Southside,"87,382",7,8.01,313,358.2,0,0
Central Region,"1,255,163",219,17.45,3631,289.29,3,0.24
Chesapeake,"210,834",18,8.54,12,5.69,1,0.47
Eastern Shore,"52,310",6,11.47,194,370.87,0,0
Hampton,"146,878",22,14.98,747,508.59,0,0
Norfolk,"241,727",79,32.68,1537,635.84,1,0.41
Peninsula,"319,531",46,14.4,968,302.94,0,0
Portsmouth,"99,617",34,34.13,18,18.07,0,0
Three Rivers,"137,872",9,6.53,256,185.68,1,0.73
Virginia Beach,"439,467",33,7.51,1607,365.67,1,0.23
Western Tidewater,"131,147",12,9.15,112,85.4,0,0
Eastern Region,"1,779,383",259,14.56,"5,451",306.34,4,0.22
