,Population,Giardiasis Reported Cases,"Giardiasis Rate per 100,000",Gonorrhea Reported Cases,"Gonorrhea Rate per 100,000",H. Influenzae Invasive Reported Cases,"H. Influenzae Invasive Rate per 100,000"
VIRGINIA TOTAL,"7,386,330",426,5.77,"9,062",122.69,68,0.92
Central Shenandoah,"264,084",19,7.19,49,18.55,5,1.89
Lord Fairfax,"197,022",6,3.05,47,23.86,1,0.51
Rappahannock,"280,451",24,8.56,151,53.84,4,1.43
Rappahannock/Rapidan,"147,856",2,1.35,54,36.52,1,0.68
Thomas Jefferson,"209,662",22,10.49,139,66.3,1,0.48
Northwest Region,"1,099,075",73,6.64,440,40.03,12,1.09
Alexandria,"128,923",19,14.74,102,79.12,0,0
Arlington,"187,873",28,14.9,94,50.03,0,0
Fairfax,"1,032,921",73,7.07,187,18.1,3,0.29
Loudoun,"221,746",15,6.76,30,13.53,0,0
Prince William,"373,480",17,4.55,176,47.12,0,0
Northern Region,"1,944,943",152,7.82,589,30.28,3,0.15
Alleghany,"171,639",7,4.08,63,36.7,3,1.75
Central Virginia,"231,036",8,3.46,225,97.39,11,4.76
Cumberland Plateau,"114,940",4,3.48,5,4.35,2,1.74
Lenowisco,"92,451",3,3.24,10,10.82,1,1.08
Mount Rogers,"188,765",4,2.12,40,21.19,2,1.06
New River,"166,956",7,4.19,58,34.74,0,0
Pittsylvania/Danville,"108,628",5,4.6,237,218.18,0,0
Roanoke City,"92,863",11,11.85,370,398.44,2,2.15
West Piedmont,"140,488",3,2.14,86,61.22,0,0
Southwest Region,"1,307,766",52,3.98,"1,094",83.65,21,1.61
Chesterfield,"318,775",16,5.02,249,78.11,2,0.63
Crater,"150,842",11,7.29,330,218.77,0,0
Hanover,"134,180",8,5.96,68,50.68,5,3.73
Henrico,"271,083",21,7.75,369,136.12,5,1.84
Piedmont,"98,172",2,2.04,91,92.69,0,0
Richmond City,"194,729",2,1.03,"1,249",641.4,5,2.57
Southside,"87,382",2,2.29,102,116.73,1,1.14
Central Region,"1,255,163",62,4.94,"2,458",195.83,18,1.43
Chesapeake,"210,834",5,2.37,380,180.24,2,0.95
Eastern Shore,"52,310",1,1.91,90,172.05,0,0
Hampton,"146,878",4,2.72,500,340.42,1,0.68
Norfolk,"241,727",10,4.14,"1,061",438.92,4,1.65
Peninsula,"319,531",28,8.76,980,306.7,0,0
Portsmouth,"99,617",3,3.01,310,311.19,0,0
Three Rivers,"137,872",4,2.9,138,100.09,0,0
Virginia Beach,"439,467",28,6.37,613,139.49,4,0.91
Western Tidewater,"131,147",4,3.05,409,311.86,3,2.29
Eastern Region,"1,779,383",87,4.89,"4,481",251.83,14,0.79
